array_id,chemical,vehicle,route
95079.CEL,LEFLUNOMIDE,CORN_OIL_100_%,ORAL_GAVAGE
97695.CEL,LEFLUNOMIDE,CORN_OIL_100_%,ORAL_GAVAGE
97708.CEL,LEFLUNOMIDE,CORN_OIL_100_%,ORAL_GAVAGE
96265.CEL,LEFLUNOMIDE,CORN_OIL_100_%,ORAL_GAVAGE
95030.CEL,LEFLUNOMIDE,CORN_OIL_100_%,ORAL_GAVAGE
96250.CEL,LEFLUNOMIDE,CORN_OIL_100_%,ORAL_GAVAGE
97666.CEL,LEFLUNOMIDE,CORN_OIL_100_%,ORAL_GAVAGE
96161.CEL,LEFLUNOMIDE,CORN_OIL_100_%,ORAL_GAVAGE
96155.CEL,LEFLUNOMIDE,CORN_OIL_100_%,ORAL_GAVAGE
96189.CEL,LEFLUNOMIDE,CORN_OIL_100_%,ORAL_GAVAGE
97582.CEL,LEFLUNOMIDE,CORN_OIL_100_%,ORAL_GAVAGE
94912.CEL,LEFLUNOMIDE,CORN_OIL_100_%,ORAL_GAVAGE
96249.CEL,LEFLUNOMIDE,CORN_OIL_100_%,ORAL_GAVAGE
97578.CEL,LEFLUNOMIDE,CORN_OIL_100_%,ORAL_GAVAGE
97675.CEL,LEFLUNOMIDE,CORN_OIL_100_%,ORAL_GAVAGE
97579.CEL,LEFLUNOMIDE,CORN_OIL_100_%,ORAL_GAVAGE
97580.CEL,LEFLUNOMIDE,CORN_OIL_100_%,ORAL_GAVAGE
97581.CEL,LEFLUNOMIDE,CORN_OIL_100_%,ORAL_GAVAGE
94466.CEL,FLUCONAZOLE,CORN_OIL_100_%,ORAL_GAVAGE
95081.CEL,FLUCONAZOLE,CORN_OIL_100_%,ORAL_GAVAGE
95726.CEL,FLUCONAZOLE,CORN_OIL_100_%,ORAL_GAVAGE
95724.CEL,FLUCONAZOLE,CORN_OIL_100_%,ORAL_GAVAGE
94478.CEL,FLUCONAZOLE,CORN_OIL_100_%,ORAL_GAVAGE
95053.CEL,FLUCONAZOLE,CORN_OIL_100_%,ORAL_GAVAGE
94942.CEL,FLUCONAZOLE,CORN_OIL_100_%,ORAL_GAVAGE
94588.CEL,FLUCONAZOLE,CORN_OIL_100_%,ORAL_GAVAGE
94943.CEL,FLUCONAZOLE,CORN_OIL_100_%,ORAL_GAVAGE
94727.CEL,FLUCONAZOLE,CORN_OIL_100_%,ORAL_GAVAGE
94574.CEL,FLUCONAZOLE,CORN_OIL_100_%,ORAL_GAVAGE
94667.CEL,FLUCONAZOLE,CORN_OIL_100_%,ORAL_GAVAGE
94533.CEL,FLUCONAZOLE,CORN_OIL_100_%,ORAL_GAVAGE
94427.CEL,FLUCONAZOLE,CORN_OIL_100_%,ORAL_GAVAGE
94944.CEL,FLUCONAZOLE,CORN_OIL_100_%,ORAL_GAVAGE
97678.CEL,IFOSFAMIDE,SALINE_100_%,ORAL_GAVAGE
97573.CEL,IFOSFAMIDE,SALINE_100_%,ORAL_GAVAGE
96884.CEL,IFOSFAMIDE,SALINE_100_%,ORAL_GAVAGE
96445.CEL,IFOSFAMIDE,SALINE_100_%,ORAL_GAVAGE
97569.CEL,IFOSFAMIDE,SALINE_100_%,ORAL_GAVAGE
97697.CEL,IFOSFAMIDE,SALINE_100_%,ORAL_GAVAGE
97672.CEL,IFOSFAMIDE,SALINE_100_%,ORAL_GAVAGE
96417.CEL,IFOSFAMIDE,SALINE_100_%,ORAL_GAVAGE
97949.CEL,IFOSFAMIDE,SALINE_100_%,ORAL_GAVAGE
97571.CEL,IFOSFAMIDE,SALINE_100_%,ORAL_GAVAGE
97951.CEL,IFOSFAMIDE,SALINE_100_%,ORAL_GAVAGE
97724.CEL,IFOSFAMIDE,SALINE_100_%,ORAL_GAVAGE
97572.CEL,IFOSFAMIDE,SALINE_100_%,ORAL_GAVAGE
97707.CEL,IFOSFAMIDE,SALINE_100_%,ORAL_GAVAGE
97570.CEL,IFOSFAMIDE,SALINE_100_%,ORAL_GAVAGE
95149.CEL,Control,SALINE_100_%,ORAL_GAVAGE
96022.CEL,Control,SALINE_100_%,ORAL_GAVAGE
95028.CEL,Control,CORN_OIL_100_%,ORAL_GAVAGE
97787.CEL,Control,CORN_OIL_100_%,ORAL_GAVAGE
96720.CEL,Control,SALINE_100_%,ORAL_GAVAGE
94948.CEL,Control,CORN_OIL_100_%,ORAL_GAVAGE
95032.CEL,Control,CORN_OIL_100_%,ORAL_GAVAGE
94565.CEL,Control,CORN_OIL_100_%,ORAL_GAVAGE
96700.CEL,Control,SALINE_100_%,ORAL_GAVAGE
96453.CEL,Control,SALINE_100_%,ORAL_GAVAGE
95321.CEL,Control,SALINE_100_%,ORAL_GAVAGE
96124.CEL,Control,SALINE_100_%,ORAL_GAVAGE
94932.CEL,Control,CORN_OIL_100_%,ORAL_GAVAGE
96866.CEL,Control,SALINE_100_%,ORAL_GAVAGE
95251.CEL,Control,CORN_OIL_100_%,ORAL_GAVAGE
96110.CEL,Control,SALINE_100_%,ORAL_GAVAGE
95797.CEL,Control,CORN_OIL_100_%,ORAL_GAVAGE
94425.CEL,Control,CORN_OIL_100_%,ORAL_GAVAGE
94509.CEL,Control,CORN_OIL_100_%,ORAL_GAVAGE
96686.CEL,Control,SALINE_100_%,ORAL_GAVAGE
94489.CEL,Control,CORN_OIL_100_%,ORAL_GAVAGE
94907.CEL,Control,CORN_OIL_100_%,ORAL_GAVAGE
96875.CEL,Control,SALINE_100_%,ORAL_GAVAGE
95294.CEL,Control,SALINE_100_%,ORAL_GAVAGE
