Run,mode_of_action,chemical,vehicle,route
SRR1178008,AhR,LEFLUNOMIDE,CORN_OIL_100_%,ORAL_GAVAGE
SRR1178009,AhR,LEFLUNOMIDE,CORN_OIL_100_%,ORAL_GAVAGE
SRR1178010,AhR,LEFLUNOMIDE,CORN_OIL_100_%,ORAL_GAVAGE
SRR1178014,CAR/PXR,FLUCONAZOLE,CORN_OIL_100_%,ORAL_GAVAGE
SRR1178021,CAR/PXR,FLUCONAZOLE,CORN_OIL_100_%,ORAL_GAVAGE
SRR1178047,CAR/PXR,FLUCONAZOLE,CORN_OIL_100_%,ORAL_GAVAGE
SRR1177981,DNA_Damage,IFOSFAMIDE,SALINE_100_%,ORAL_GAVAGE
SRR1177982,DNA_Damage,IFOSFAMIDE,SALINE_100_%,ORAL_GAVAGE
SRR1177983,DNA_Damage,IFOSFAMIDE,SALINE_100_%,ORAL_GAVAGE
SRR1178050,Control,Vehicle,CORN_OIL_100_%,ORAL_GAVAGE
SRR1178061,Control,Vehicle,CORN_OIL_100_%,ORAL_GAVAGE
SRR1178063,Control,Vehicle,CORN_OIL_100_%,ORAL_GAVAGE
SRR1178004,Control,Vehicle,SALINE_100_%,INTRAPERITONEAL
SRR1178006,Control,Vehicle,SALINE_100_%,INTRAPERITONEAL
SRR1178013,Control,Vehicle,SALINE_100_%,INTRAPERITONEAL
